,Name,category,family,genus,conservationStatus,aveWingLength,averageBodyMass,aveWingSpan
0,Black-bellied whistling-duck,Ducks/Geese/Waterfowl,Anatidae,Dendrocygna,LC,85.0,836.0,85.0
1,Fulvous whistling-duck,Ducks/Geese/Waterfowl,Anatidae,Dendrocygna,LC,89.0,881.0,89.0
2,Snow goose,Ducks/Geese/Waterfowl,Anatidae,Anser,LC,150.0,3050.0,150.0
3,Ross's goose,Ducks/Geese/Waterfowl,Anatidae,Anser,LC,114.5,1316.5,114.5
4,Greater white-fronted goose,Ducks/Geese/Waterfowl,Anatidae,Anser,LC,147.5,2620.0,147.5
5,Brant,Ducks/Geese/Waterfowl,Anatidae,Branta,LC,163.5,1540.0,163.5
6,Cackling goose,Ducks/Geese/Waterfowl,Anatidae,Branta,LC,109.5,1889.0,109.5
7,Canada goose,Ducks/Geese/Waterfowl,Anatidae,Branta,LC,156.0,4550.0,156.0
8,Mute swan,Ducks/Geese/Waterfowl,Anatidae,Cygnus,LC,220.0,11750.0,220.0
9,Trumpeter swan,Ducks/Geese/Waterfowl,Anatidae,Cygnus,LC,217.5,10300.0,217.5
10,Tundra swan,Ducks/Geese/Waterfowl,Anatidae,Cygnus,LC,189.5,6500.0,189.5
11,Wood duck,Ducks/Geese/Waterfowl,Anatidae,Aix,LC,69.5,658.0,69.5
12,Garganey,Ducks/Geese/Waterfowl,Anatidae,Spatula,LC,63.5,350.0,63.5
13,Blue-winged teal,Ducks/Geese/Waterfowl,Anatidae,Spatula,LC,58.0,370.0,58.0
14,Cinnamon teal,Ducks/Geese/Waterfowl,Anatidae,Spatula,LC,56.0,400.0,56.0
15,Northern shoveler,Ducks/Geese/Waterfowl,Anatidae,Spatula,LC,76.0,600.0,76.0
16,Gadwall,Ducks/Geese/Waterfowl,Anatidae,Mareca,LC,84.0,920.0,84.0
17,Eurasian wigeon,Ducks/Geese/Waterfowl,Anatidae,Mareca,LC,75.5,786.5,75.5
18,American wigeon,Ducks/Geese/Waterfowl,Anatidae,Mareca,LC,73.5,921.0,73.5
19,Mallard,Ducks/Geese/Waterfowl,Anatidae,Anas,LC,89.5,1150.0,89.5
20,American black duck,Ducks/Geese/Waterfowl,Anatidae,Anas,LC,91.5,1180.0,91.5
21,Mottled duck,Ducks/Geese/Waterfowl,Anatidae,Anas,LC,83.6,970.0,83.6
22,Northern pintail,Ducks/Geese/Waterfowl,Anatidae,Anas,LC,87.5,905.0,87.5
23,Green-winged teal,Ducks/Geese/Waterfowl,Anatidae,Anas,LC,56.0,320.0,56.0
24,Canvasback,Ducks/Geese/Waterfowl,Anatidae,Aythya,LC,84.0,1231.0,84.0
25,Redhead,Ducks/Geese/Waterfowl,Anatidae,Aythya,LC,84.0,1020.5,84.0
26,Ring-necked duck,Ducks/Geese/Waterfowl,Anatidae,Aythya,LC,62.5,700.0,62.5
27,Tufted duck,Ducks/Geese/Waterfowl,Anatidae,Aythya,LC,20.299999999999997,827.5,20.299999999999997
28,Greater scaup,Ducks/Geese/Waterfowl,Anatidae,Aythya,LC,77.5,1043.0,77.5
29,Lesser scaup,Ducks/Geese/Waterfowl,Anatidae,Aythya,LC,19.5,771.5,19.5
30,King eider,Ducks/Geese/Waterfowl,Anatidae,Somateria,LC,94.0,1550.0,94.0
31,Common eider,Ducks/Geese/Waterfowl,Anatidae,Somateria,NT,95.0,1925.0,95.0
32,Harlequin duck,Ducks/Geese/Waterfowl,Anatidae,Histrionicus,LC,26.0,600.0,26.0
33,Surf scoter,Ducks/Geese/Waterfowl,Anatidae,Melanitta,LC,76.5,1096.5,76.5
34,White-winged scoter,Ducks/Geese/Waterfowl,Anatidae,Melanitta,LC,80.0,1539.0,80.0
35,Black scoter,Ducks/Geese/Waterfowl,Anatidae,Melanitta,NT,71.0,950.0,71.0
36,Long-tailed duck,Ducks/Geese/Waterfowl,Anatidae,Clangula,VU,71.0,740.0,71.0
37,Bufflehead,Ducks/Geese/Waterfowl,Anatidae,Bucephala,LC,55.0,410.0,55.0
38,Common goldeneye,Ducks/Geese/Waterfowl,Anatidae,Bucephala,LC,80.0,1000.0,80.0
39,Barrow's goldeneye,Ducks/Geese/Waterfowl,Anatidae,Bucephala,LC,71.5,780.0,71.5
40,Smew,Ducks/Geese/Waterfowl,Anatidae,Mergellus,LC,62.5,550.0,62.5
41,Hooded merganser,Ducks/Geese/Waterfowl,Anatidae,Lophodytes,LC,63.0,666.0,63.0
42,Common merganser,Ducks/Geese/Waterfowl,Anatidae,Mergus,LC,87.5,1500.0,87.5
43,Red-breasted merganser,Ducks/Geese/Waterfowl,Anatidae,Mergus,LC,78.0,1075.0,78.0
44,Ruddy duck,Ducks/Geese/Waterfowl,Anatidae,Oxyura,LC,47.0,560.0,47.0
45,Northern bobwhite,New World quail,Odontophoridae,Colinus,NT,35.5,151.0,35.5
46,Wild turkey,Pheasants/Grouse/Allies,Phasianidae,Meleagris,LC,134.5,6650.0,134.5
47,Ruffed grouse,Pheasants/Grouse/Allies,Phasianidae,Bonasa,LC,57.0,600.0,57.0
48,Spruce grouse,Pheasants/Grouse/Allies,Phasianidae,Falcipennis,LC,56.0,550.0,56.0
49,Willow ptarmigan,Pheasants/Grouse/Allies,Phasianidae,Lagopus,LC,62.5,620.0,62.5
50,Rock ptarmigan,Pheasants/Grouse/Allies,Phasianidae,Lagopus,LC,57.0,540.0,57.0
51,Sharp-tailed grouse,Pheasants/Grouse/Allies,Phasianidae,Tympanuchus,LC,63.5,738.0,63.5
52,Greater prairie-chicken,Pheasants/Grouse/Allies,Phasianidae,Tympanuchus,VU,71.0,950.0,71.0
53,Gray partridge,Pheasants/Grouse/Allies,Phasianidae,Perdix,LC,54.5,442.5,54.5
54,Ring-necked pheasant,Pheasants/Grouse/Allies,Phasianidae,Phasianus,LC,71.0,1750.0,71.0
55,Pied-billed grebe,Grebes,Podicipedidae,Podilymbus,LC,53.5,410.5,53.5
56,Horned grebe,Grebes,Podicipedidae,Podiceps,VU,64.5,435.0,64.5
57,Red-necked grebe,Grebes,Podicipedidae,Podiceps,LC,81.0,808.5,81.0
58,Eared grebe,Grebes,Podicipedidae,Podiceps,LC,53.5,357.5,53.5
59,Western grebe,Grebes,Podicipedidae,Aechmophorus,LC,90.5,1397.5,90.5
60,Clark's grebe,Grebes,Podicipedidae,Aechmophorus,LC,24.0,988.0,24.0
61,Rock pigeon,Pigeons/Doves,Columbidae,Columba,LC,67.0,309.0,67.0
62,Band-tailed pigeon,Pigeons/Doves,Columbidae,Patagioenas,LC,26.0,370.0,26.0
63,Eurasian collared-dove,Pigeons/Doves,Columbidae,Streptopelia,LC,51.0,182.5,51.0
64,Passenger pigeon,Pigeons/Doves,Columbidae,Ectopistes,EX,19.75,300.0,19.75
65,Inca dove,Pigeons/Doves,Columbidae,Columbina,LC,30.25,44.0,30.25
66,Common ground dove,Pigeons/Doves,Columbidae,Columbina,LC,27.0,33.0,27.0
67,White-winged dove,Pigeons/Doves,Columbidae,Zenaida,LC,53.0,150.0,53.0
68,Mourning dove,Pigeons/Doves,Columbidae,Zenaida,LC,41.0,141.0,41.0
69,Groove-billed ani,Cuckoos,Cuculidae,Crotophaga,LC,43.5,80.0,43.5
70,Black-billed cuckoo,Cuckoos,Cuculidae,Cuculidae,LC,44.0,50.0,44.0
71,Yellow-billed cuckoo,Cuckoos,Cuculidae,Coccyzus,LC,40.5,60.0,40.5
72,Common nighthawk,Nightjars/Allies,Caprimulgidae,Chordeiles,LC,56.0,76.5,56.0
73,Common poorwill,Nightjars/Allies,Caprimulgidae,Phalaenoptilus,LC,30.0,47.0,30.0
74,Chuck-will's-widow,Nightjars/Allies,Caprimulgidae,Antrostomus,NT,62.0,127.0,62.0
75,Eastern whip-poor-will,Nightjars/Allies,Caprimulgidae,Antrostomus,NT,47.5,55.5,47.5
76,Chimney swift,Swifts,Apodidae,Chaetura,VU,28.5,23.5,28.5
77,White-throated swift,Swifts,Apodidae,Aeronautes,LC,35.5,32.0,35.5
78,Mexican violetear,Hummingbirds,Trochilidae,Colibri,LC,12.0,5.199999999999999,12.0
79,Rivoli's hummingbird,Hummingbirds,Trochilidae,Eugenes,LC,18.0,8.0,18.0
80,Ruby-throated hummingbird,Hummingbirds,Trochilidae,Archilochus,LC,9.5,4.0,9.5
81,Anna's hummingbird,Hummingbirds,Trochilidae,Calypte,LC,12.0,4.5,12.0
82,Costa's hummingbird,Hummingbirds,Trochilidae,Calypte,LC,11.0,3.135,11.0
83,Calliope hummingbird,Hummingbirds,Trochilidae,Selasphorus,LC,11.0,2.5,11.0
84,Rufous hummingbird,Hummingbirds,Trochilidae,Selasphorus,NT,11.0,3.5,11.0
85,King rail,Rails/Gallinules/Coots,Rallidae,Rallus,NT,48.0,290.0,48.0
86,Virginia rail,Rails/Gallinules/Coots,Rallidae,Rallus,LC,35.0,80.0,35.0
87,Sora,Rails/Gallinules/Coots,Rallidae,Porzana,LC,37.5,80.5,37.5
88,Common gallinule,Rails/Gallinules/Coots,Rallidae,Gallinula,LC,58.0,383.0,58.0
89,American coot,Rails/Gallinules/Coots,Rallidae,Fulica,LC,64.5,637.5,64.5
90,Purple gallinule,Rails/Gallinules/Coots,Rallidae,Porphyrio,LC,55.5,223.0,55.5
91,Yellow rail,Rails/Gallinules/Coots,Rallidae,Cotorunicops,LC,30.0,54.5,30.0
92,Black rail,Rails/Gallinules/Coots,Rallidae,Laterallus,EN,25.0,34.0,25.0
93,Sandhill crane,Cranes,Gruidae,Antigone,LC,200.0,4295.0,200.0
94,Whooping crane,Cranes,Gruidae,Grus,EN,215.0,6500.0,215.0
95,Black-necked stilt,Stilts and avocets,Recurvirostridae,Himantopus,LC,73.5,163.0,73.5
96,American avocet,Stilts and avocets,Recurvirostridae,Recurvirostra,LC,72.0,347.5,72.0
97,Black-bellied plover,Plovers/Lapwings,Charadriidae,Pluvialis,LC,77.0,235.0,77.0
98,American golden-plover,Plovers/Lapwings,Charadriidae,Pluvialis,LC,66.0,158.0,66.0
99,Killdeer,Plovers/Lapwings,Charadriidae,Charadrius,LC,61.0,96.5,61.0
100,Semipalmated plover,Plovers/Lapwings,Charadriidae,Charadrius,LC,45.5,42.5,45.5
101,Piping plover,Plovers/Lapwings,Charadriidae,Charadrius,NT,38.0,53.0,38.0
102,Wilson's plover,Plovers/Lapwings,Charadriidae,Charadrius,LC,48.2,62.5,48.2
103,Snowy plover,Plovers/Lapwings,Charadriidae,Charadrius,NT,38.6,45.25,38.6
104,Upland sandpiper,Sandpipers/Allies,Scolopacidae,Bartramia,LC,66.0,170.0,66.0
105,Whimbrel,Sandpipers/Allies,Scolopacidae,Numenius,LC,82.5,381.5,82.5
106,Eskimo curlew,Sandpipers/Allies,Scolopacidae,Numenius,CR,70.0,360.0,70.0
107,Long-billed curlew,Sandpipers/Allies,Scolopacidae,Numenius,LC,76.0,720.0,76.0
108,Hudsonian godwit,Sandpipers/Allies,Scolopacidae,Limosa,LC,74.0,300.0,74.0
109,Marbled godwit,Sandpipers/Allies,Scolopacidae,Limosa,LC,79.0,375.0,79.0
110,Ruddy turnstone,Sandpipers/Allies,Scolopacidae,Arenaria,LC,53.5,117.5,53.5
111,Red knot,Sandpipers/Allies,Scolopacidae,Calidris,NT,50.0,150.0,50.0
112,Ruff,Sandpipers/Allies,Scolopacidae,Calidris,LC,57.0,180.0,57.0
113,Sharp-tailed sandpiper,Sandpipers/Allies,Scolopacidae,Calidris,LC,39.5,76.5,39.5
114,Stilt sandpiper,Sandpipers/Allies,Scolopacidae,Calidris,LC,39.5,60.0,39.5
115,Curlew sandpiper,Sandpipers/Allies,Scolopacidae,Calidris,NT,39.5,80.5,39.5
116,Sanderling,Sandpipers/Allies,Scolopacidae,Calidris,LC,43.0,60.0,43.0
117,Dunlin,Sandpipers/Allies,Scolopacidae,Calidris,LC,37.0,62.300000000000004,37.0
118,Purple sandpiper,Sandpipers/Allies,Scolopacidae,Calidris,LC,44.0,77.5,44.0
119,Baird's sandpiper,Sandpipers/Allies,Scolopacidae,Calidris,LC,43.0,38.0,43.0
120,Least sandpiper,Sandpipers/Allies,Scolopacidae,Calidris,LC,27.5,24.5,27.5
121,White-rumped sandpiper,Sandpipers/Allies,Scolopacidae,Calidris,LC,43.0,42.0,43.0
122,Buff-breasted sandpiper,Sandpipers/Allies,Scolopacidae,Calidris,NT,46.0,63.0,46.0
123,Pectoral sandpiper,Sandpipers/Allies,Scolopacidae,Calidris,LC,46.0,73.0,46.0
124,Semipalmated sandpiper,Sandpipers/Allies,Scolopacidae,Calidris,NT,46.0,26.0,46.0
125,Western sandpiper,Sandpipers/Allies,Scolopacidae,Calidris,LC,36.0,28.5,36.0
126,Short-billed dowitcher,Sandpipers/Allies,Scolopacidae,Limnodromus,LC,51.0,114.0,51.0
127,Long-billed dowitcher,Sandpipers/Allies,Scolopacidae,Limnodromus,LC,48.0,109.5,48.0
128,American woodcock,Sandpipers/Allies,Scolopacidae,Scolopax,LC,45.0,185.0,45.0
129,Wilson's snipe,Sandpipers/Allies,Scolopacidae,Gallinago,LC,42.0,111.0,42.0
130,Spotted sandpiper,Sandpipers/Allies,Scolopacidae,Actitis,LC,38.5,42.0,38.5
131,Solitary sandpiper,Sandpipers/Allies,Scolopacidae,Tringa,LC,50.0,48.0,50.0
132,Lesser yellowlegs,Sandpipers/Allies,Scolopacidae,Tringa,LC,61.5,85.2,61.5
133,Willet,Sandpipers/Allies,Scolopacidae,Tringa,LC,70.0,265.0,70.0
134,Greater yellowlegs,Sandpipers/Allies,Scolopacidae,Tringa,LC,60.0,180.5,60.0
135,Wilson's phalarope,Sandpipers/Allies,Scolopacidae,Phalaropus,LC,41.0,74.0,41.0
136,Red-necked phalarope,Sandpipers/Allies,Scolopacidae,Phalaropus,LC,38.0,35.0,38.0
137,Red phalarope,Sandpipers/Allies,Scolopacidae,Phalaropus,LC,43.0,55.0,43.0
138,Pomarine jaeger,Skuas and jaegers,Stercorariidae,Stercorarius,LC,124.0,730.0,124.0
139,Parasitic jaeger,Skuas and jaegers,Stercorariidae,Stercorarius,LC,116.0,475.0,116.0
140,Long-tailed jaeger,Skuas and jaegers,Stercorariidae,Stercorarius,LC,109.5,337.0,109.5
141,Dovekie,Auks/Murres/Puffins,Alcidae,Alle,LC,36.0,169.0,36.0
142,Black guillemot,Auks/Murres/Puffins,Alcidae,Cepphus,LC,55.0,380.0,55.0
143,Long-billed murrelet,Auks/Murres/Puffins,Alcidae,Brachyramphus,NT,43.0,260.0,43.0
144,Ancient murrelet,Auks/Murres/Puffins,Alcidae,Synthliboramphus,LC,45.5,201.5,45.5
145,Black-legged kittiwake,Gulls/Terns/Skimmers,Laridae,Rissa,VU,98.0,415.0,98.0
146,Ivory gull,Gulls/Terns/Skimmers,Laridae,Pagophila,NT,114.0,567.5,114.0
147,Sabine's gull,Gulls/Terns/Skimmers,Laridae,Xema,LC,84.0,180.0,84.0
148,Bonaparte's gull,Gulls/Terns/Skimmers,Laridae,Chroicocephalus,LC,80.0,202.5,80.0
149,Black-headed gull,Gulls/Terns/Skimmers,Laridae,Chroicocephalus,LC,99.5,295.0,99.5
150,Little gull,Gulls/Terns/Skimmers,Laridae,Hydrocoloeus,LC,69.5,115.0,69.5
151,Ross's gull,Gulls/Terns/Skimmers,Laridae,Rhodostethia,LC,95.0,195.0,95.0
152,Laughing gull,Gulls/Terns/Skimmers,Laridae,Leucophaeus,LC,104.0,287.0,104.0
153,Franklin's gull,Gulls/Terns/Skimmers,Laridae,Leucophaeus,LC,90.0,265.0,90.0
154,Mew gull,Gulls/Terns/Skimmers,Laridae,Larus,LC,110.5,438.0,110.5
155,Ring-billed gull,Gulls/Terns/Skimmers,Laridae,Larus,LC,111.0,500.0,111.0
156,California gull,Gulls/Terns/Skimmers,Laridae,Larus,LC,129.5,737.5,129.5
157,Herring gull,Gulls/Terns/Skimmers,Laridae,Larus,LC,137.5,1125.0,137.5
158,Iceland gull,Gulls/Terns/Skimmers,Laridae,Larus,LC,132.5,790.0,132.5
159,Lesser black-backed gull,Gulls/Terns/Skimmers,Laridae,Larus,LC,137.0,776.0,137.0
160,Slaty-backed gull,Gulls/Terns/Skimmers,Laridae,Larus,LC,57.5,1375.0,57.5
161,Glaucous-winged gull,Gulls/Terns/Skimmers,Laridae,Larus,LC,135.0,1210.0,135.0
162,Glaucous gull,Gulls/Terns/Skimmers,Laridae,Larus,LC,151.0,1830.0,151.0
163,Great black-backed gull,Gulls/Terns/Skimmers,Laridae,Larus,LC,160.0,1525.0,160.0
164,Least tern,Gulls/Terns/Skimmers,Laridae,Sternula,LC,50.0,45.5,50.0
165,Gull-billed tern,Gulls/Terns/Skimmers,Laridae,Gelochelidon,LC,83.5,221.0,83.5
166,Caspian tern,Gulls/Terns/Skimmers,Laridae,Hydroprogne,LC,136.0,656.0,136.0
167,Black tern,Gulls/Terns/Skimmers,Laridae,Childonias,LC,61.0,62.0,61.0
168,Common tern,Gulls/Terns/Skimmers,Laridae,Sterna,LC,87.5,125.5,87.5
169,Arctic tern,Gulls/Terns/Skimmers,Laridae,Sterna,LC,70.0,106.5,70.0
170,Forster's tern,Gulls/Terns/Skimmers,Laridae,Sterna,LC,67.0,160.0,67.0
171,Sandwich tern,Gulls/Terns/Skimmers,Laridae,Thalasseus,LC,91.0,240.0,91.0
172,Elegant tern,Gulls/Terns/Skimmers,Laridae,Thalasseus,NT,78.5,257.5,78.5
173,Red-throated loon,Loons,Gaviidae,Gavia,LC,105.5,1850.0,105.5
174,Pacific loon,Loons,Gaviidae,Gavia,LC,119.0,1750.0,119.0
175,Common loon,Loons,Gaviidae,Gavia,LC,137.0,4900.0,137.0
176,Yellow-billed loon,Loons,Gaviidae,Gavia,NT,147.5,5200.0,147.5
177,Northern fulmar,Shearwaters and petrels,Procellariidae,Fulmarus,LC,107.0,725.0,107.0
178,Wood stork,Storks,Ciconiidae,Mycteria,LC,160.0,2650.0,160.0
179,Magnificent frigatebird,Frigatebirds,Fregatidae,Fregata,LC,230.5,1345.0,230.5
180,Double-crested cormorant,Cormorants/Shags,Phalacrocoracidae,Phalacrocorax,LC,118.5,1850.0,118.5
181,Neotropic cormorant,Cormorants/Shags,Phalacrocoracidae,Phalacrocorax,LC,100.0,1250.0,100.0
182,American white pelican,Pelicans,Pelecanidae,Pelecanus,LC,270.0,8550.0,270.0
183,Brown pelican,Pelicans,Pelecanidae,Pelecanus,LC,215.5,3500.0,215.5
184,American bittern,Herons/Egrets/Bitterns,Ardeidae,Botarus,LC,103.5,721.0,103.5
185,Least bittern,Herons/Egrets/Bitterns,Ardeidae,Ixobrychus,LC,43.5,76.5,43.5
186,Great blue heron,Herons/Egrets/Bitterns,Ardeidae,Ardea,LC,184.0,2710.0,184.0
187,Great egret,Herons/Egrets/Bitterns,Ardeidae,Ardea,LC,150.5,1100.0,150.5
188,Snowy egret,Herons/Egrets/Bitterns,Ardeidae,Egretta,LC,100.0,370.0,100.0
189,Little blue heron,Herons/Egrets/Bitterns,Ardeidae,Egretta,LC,102.0,325.0,102.0
190,Tricolored heron,Herons/Egrets/Bitterns,Ardeidae,Egretta,LC,96.0,379.5,96.0
191,Cattle egret,Herons/Egrets/Bitterns,Ardeidae,Bubulcus,LC,92.0,391.0,92.0
192,Green heron,Herons/Egrets/Bitterns,Ardeidae,Butorides,LC,66.0,240.0,66.0
193,Black-crowned night-heron,Herons/Egrets/Bitterns,Ardeidae,Nycticorax,LC,116.5,870.5,116.5
194,Yellow-crowned night-heron,Herons/Egrets/Bitterns,Ardeidae,Nyctsnassa,LC,106.5,750.0,106.5
195,White ibis,Ibises/Spoonbills,Threskiornithidae,Eudocimus,LC,97.5,926.85,97.5
196,Glossy ibis,Ibises/Spoonbills,Threskiornithidae,Plegadis,LC,92.5,727.5,92.5
197,White-faced ibis,Ibises/Spoonbills,Threskiornithidae,Plegadis,LC,91.5,487.5,91.5
198,Roseate spoonbill,Ibises/Spoonbills,Threskiornithidae,Platalea,LC,126.5,1500.0,126.5
199,Black vulture,New World vultures,Cathartidae,Coragyps,LC,150.0,2300.0,150.0
200,Turkey vulture,New World vultures,Cathartidae,Cathartes,LC,171.5,1605.0,171.5
201,Osprey,Osprey,Pandionidae,Pandion,LC,153.5,1500.0,153.5
202,White-tailed kite,Hawks/Eagles,Accipitridae,Elanus,LC,95.0,315.0,95.0
203,Swallow-tailed kite,Hawks/Eagles,Accipitridae,Elanoides,LC,124.0,455.0,124.0
204,Golden eagle,Hawks/Eagles,Accipitridae,Aquila,LC,207.0,4425.0,207.0
205,Northern harrier,Hawks/Eagles,Accipitridae,Circus,LC,109.5,520.0,109.5
206,Sharp-shinned hawk,Hawks/Eagles,Accipitridae,Accipiter,LC,55.0,150.5,55.0
207,Cooper's hawk,Hawks/Eagles,Accipitridae,Accipiter,LC,80.5,458.0,80.5
208,Northern goshawk,Hawks/Eagles,Accipitridae,Accipiter,LC,108.0,778.5,108.0
209,Bald eagle,Hawks/Eagles,Accipitridae,Haliaeetus,LC,2050.0,4650.0,2050.0
210,Mississippi kite,Hawks/Eagles,Accipitridae,Ictinia,LC,91.0,301.0,91.0
211,Red-shouldered hawk,Hawks/Eagles,Accipitridae,Buteo,LC,108.5,695.0,108.5
212,Broad-winged hawk,Hawks/Eagles,Accipitridae,Buteo,LC,87.0,412.5,87.0
213,Swainson's hawk,Hawks/Eagles,Accipitridae,Buteo,LC,127.0,1100.0,127.0
214,Red-tailed hawk,Hawks/Eagles,Accipitridae,Buteo,LC,125.5,1145.0,125.5
215,Rough-legged hawk,Hawks/Eagles,Accipitridae,Buteo,LC,136.5,1130.0,136.5
216,Ferruginous hawk,Hawks/Eagles,Accipitridae,Buteo,LC,137.0,1587.5,137.0
217,Barn owl,Barn-owls,Tytonidae,Tyto,LC,87.5,467.0,87.5
218,Eastern screech-owl,Owls,Strigidae,Megascops,LC,53.5,182.5,53.5
219,Great horned owl,Owls,Strigidae,Bubo,LC,122.0,1705.0,122.0
220,Snowy owl,Owls,Strigidae,Bubo,VU,140.8,2125.5,140.8
221,Northern hawk owl,Owls,Strigidae,Surnia,LC,45.0,300.0,45.0
