,Name,category,family,genus,conservationStatus,aveWingLength,averageBodyMass,aveWingSpan
222,Burrowing owl,Owls,Strigidae,Athene,LC,55.9,190.0,55.9
223,Barred owl,Owls,Strigidae,Strix,LC,110.5,809.0,110.5
224,Great gray owl,Owls,Strigidae,Strix,LC,141.0,1240.0,141.0
225,Long-eared owl,Owls,Strigidae,Asio,LC,94.0,297.5,94.0
226,Short-eared owl,Owls,Strigidae,Asio,LC,97.5,340.5,97.5
227,Boreal owl,Owls,Strigidae,Aegolius,LC,56.0,154.0,56.0
228,Northern saw-whet owl,Owls,Strigidae,Aegolius,LC,49.15,102.5,49.15
229,Belted kingfisher,Kingfishers,Alcedinidae,Megaceryle,LC,53.0,145.5,53.0
230,Lewis's woodpecker,Woodpeckers,Picidae,Melanerpes,LC,50.5,113.0,50.5
231,Red-headed woodpecker,Woodpeckers,Picidae,Melanerpes,LC,42.5,76.5,42.5
232,Acorn woodpecker,Woodpeckers,Picidae,Melanerpes,LC,39.0,77.5,39.0
233,Red-bellied woodpecker,Woodpeckers,Picidae,Melanerpes,LC,42.0,73.5,42.0
234,Williamson's sapsucker,Woodpeckers,Picidae,Sphyrapicus,LC,43.0,49.5,43.0
235,Yellow-bellied sapsucker,Woodpeckers,Picidae,Sphyrapicus,LC,37.0,48.5,37.0
236,American three-toed woodpecker,Woodpeckers,Picidae,Picoides,LC,38.0,55.0,38.0
237,Black-backed woodpecker,Woodpeckers,Picidae,Picoides,LC,41.0,74.5,41.0
238,Downy woodpecker,Woodpeckers,Picidae,Dryobates,LC,28.0,26.5,28.0
239,Hairy woodpecker,Woodpeckers,Picidae,Leuconotopicus,LC,38.0,67.5,38.0
240,Northern flicker,Woodpeckers,Picidae,Colaptes,LC,48.0,126.5,48.0
241,Pileated woodpecker,Woodpeckers,Picidae,Dryocopus,LC,70.5,325.0,70.5
242,Crested caracara,Falcons /Caracaras,Falconidae,Caracara,LC,125.0,1044.0,125.0
243,American kestrel,Falcons /Caracaras,Falconidae,Falco,LC,56.0,122.5,56.0
244,Merlin,Falcons /Caracaras,Falconidae,Falco,LC,61.5,167.5,61.5
245,Gyrfalcon,Falcons /Caracaras,Falconidae,Hierofalco,LC,135.0,1452.5,135.0
246,Peregrine falcon,Falcons /Caracaras,Falconidae,Falco,LC,97.0,915.0,97.0
247,Prairie falcon,Falcons /Caracaras,Falconidae,Falco,LC,1100.0,735.0,1100.0
248,Ash-throated flycatcher,Tyrant flycatchers,Tyrannidae,Myiarchus,LC,31.0,28.5,31.0
249,Great crested flycatcher,Tyrant flycatchers,Tyrannidae,Myiarchus,LC,34.0,33.5,34.0
250,Tropical kingbird,Tyrant flycatchers,Tyrannidae,Tyrannus,LC,39.5,39.0,39.5
251,Cassin's kingbird,Tyrant flycatchers,Tyrannidae,Tyrannus,LC,41.0,45.0,41.0
252,Western kingbird,Tyrant flycatchers,Tyrannidae,Tyrannus,LC,39.0,40.0,39.0
253,Eastern kingbird,Tyrant flycatchers,Tyrannidae,Tyrannus,LC,35.5,44.0,35.5
254,Scissor-tailed flycatcher,Tyrant flycatchers,Tyrannidae,Tyrannus,LC,15.0,43.0,15.0
255,Fork-tailed flycatcher,Tyrant flycatchers,Tyrannidae,Tyrannus,LC,38.0,30.0,38.0
256,Olive-sided flycatcher,Tyrant flycatchers,Tyrannidae,Contopus,NT,33.0,34.2,33.0
257,Western wood-pewee,Tyrant flycatchers,Tyrannidae,Contopus,LC,26.0,12.5,26.0
258,Eastern wood-pewee,Tyrant flycatchers,Tyrannidae,Contopus,LC,24.5,14.0,24.5
259,Yellow-bellied flycatcher,Tyrant flycatchers,Tyrannidae,Empidonax,LC,19.0,12.5,19.0
260,Acadian flycatcher,Tyrant flycatchers,Tyrannidae,Empidonax,LC,22.5,12.5,22.5
261,Alder flycatcher,Tyrant flycatchers,Tyrannidae,Empidonax,LC,22.5,13.0,22.5
262,Willow flycatcher,Tyrant flycatchers,Tyrannidae,Empidonax,LC,22.0,13.5,22.0
263,Least flycatcher,Tyrant flycatchers,Tyrannidae,Empidonax,LC,20.5,10.3,20.5
264,Eastern phoebe,Tyrant flycatchers,Tyrannidae,Sayornis,LC,27.0,18.5,27.0
265,Say's phoebe,Tyrant flycatchers,Tyrannidae,Sayornis,LC,33.0,21.0,33.0
266,Vermilion flycatcher,Tyrant flycatchers,Tyrannidae,Pyrocephalus,LC,24.5,12.5,24.5
267,Loggerhead shrike,Shrikes,Laniidae,Lanius,NT,30.0,42.5,30.0
268,Northern shrike,Shrikes,Laniidae,Lanius,LC,32.5,67.5,32.5
269,White-eyed vireo,Vireos/Shrike-babblers/Erpornis,Vireonidae,Vireo,LC,17.0,12.0,17.0
270,Bell's vireo,Vireos/Shrike-babblers/Erpornis,Vireonidae,Vireo,LC,18.0,8.600000000000001,18.0
271,Yellow-throated vireo,Vireos/Shrike-babblers/Erpornis,Vireonidae,Vireo,LC,23.0,18.0,23.0
272,Blue-headed vireo,Vireos/Shrike-babblers/Erpornis,Vireonidae,Vireo,LC,22.0,16.0,22.0
273,Philadelphia vireo,Vireos/Shrike-babblers/Erpornis,Vireonidae,Vireo,LC,20.0,12.0,20.0
274,Warbling vireo,Vireos/Shrike-babblers/Erpornis,Vireonidae,Vireo,LC,22.0,13.0,22.0
275,Red-eyed vireo,Vireos/Shrike-babblers/Erpornis,Vireonidae,Vireo,LC,24.0,19.0,24.0
276,Canada jay,Crows/Jays/Magpies,Corvidae,Perisoreus,LC,45.0,67.5,45.0
277,Blue jay,Crows/Jays/Magpies,Corvidae,Cyanocitta,LC,38.5,85.0,38.5
278,Clark's nutcracker,Crows/Jays/Magpies,Corvidae,Nucifraga,LC,46.0,133.5,46.0
279,Black-billed magpie,Crows/Jays/Magpies,Corvidae,Pica,LC,19.7,178.5,19.7
280,American crow,Crows/Jays/Magpies,Corvidae,Corvus,LC,92.5,468.0,92.5
281,Common raven,Crows/Jays/Magpies,Corvidae,Corvus,LC,132.5,1345.0,132.5
282,Horned lark,Larks,Alaudidae,Eremophila,LC,32.0,38.0,32.0
283,Bank swallow,Swallows,Hirundinidae,Riparia,LC,29.0,14.5,29.0
284,Tree swallow,Swallows,Hirundinidae,Tachycineta,LC,32.5,21.25,32.5
285,Violet-green swallow,Swallows,Hirundinidae,Tachycineta,LC,10.6,14.15,10.6
286,Northern rough-winged swallow,Swallows,Hirundinidae,Stelgidopteryx,LC,28.5,14.0,28.5
287,Purple martin,Swallows,Hirundinidae,Progne,LC,40.0,52.5,40.0
288,Barn swallow,Swallows,Hirundinidae,Hirundo,LC,33.25,19.0,33.25
289,Cliff swallow,Swallows,Hirundinidae,Petrochelidon,LC,30.5,25.0,30.5
290,Black-capped chickadee,Tits/Chickadees/Titmice,Paridae,Poecile,LC,18.5,11.5,18.5
291,Boreal chickadee,Tits/Chickadees/Titmice,Paridae,Poecile,LC,21.0,10.0,21.0
292,Tufted titmouse,Tits/Chickadees/Titmice,Paridae,Baeolophus,LC,23.0,22.0,23.0
293,Red-breasted nuthatch,Nuthatches,Sittidae,Sitta,LC,22.0,9.9,22.0
294,White-breasted nuthatch,Nuthatches,Sittidae,Sitta,LC,23.5,24.0,23.5
295,Pygmy nuthatch,Nuthatches,Sittidae,Sitta,LC,19.7,10.0,19.7
296,Brown creeper,Treecreepers,Certhiidae,Certhia,LC,18.5,7.5,18.5
297,Rock wren,Wrens,Troglodytidae,Salpinctes,LC,23.0,16.5,23.0
298,House wren,Wrens,Troglodytidae,Troglodytes,LC,15.0,11.0,15.0
299,Winter wren,Wrens,Troglodytidae,Nannus,LC,14.0,10.0,14.0
300,Sedge wren,Wrens,Troglodytidae,Cistothorus,LC,13.0,8.5,13.0
301,Marsh wren,Wrens,Troglodytidae,Cistothorus,LC,15.0,11.5,15.0
302,Carolina wren,Wrens,Troglodytidae,Thryothorus,LC,29.0,20.5,29.0
303,Bewick's wren,Wrens,Troglodytidae,Thryomanes,LC,18.0,10.0,18.0
304,Blue-gray gnatcatcher,Gnatcatchers,Polioptilidae,Polioptila,LC,16.0,6.0,16.0
305,American dipper,Dippers,Cinclidae,Cinclus,LC,23.0,46.0,23.0
306,Golden-crowned kinglet,Kinglets,Regulidae,Regulus,LC,16.0,5.9,16.0
307,Ruby-crowned kinglet,Kinglets,Regulidae,Regulus,LC,10.0,7.5,10.0
308,Northern wheatear,Old World flycatchers,Muscicapidae,Oenanthe,LC,29.0,23.5,29.0
309,Eastern bluebird,Thrushes/Allies,Turdidae,Sialia,LC,28.5,30.5,28.5
310,Mountain bluebird,Thrushes/Allies,Turdidae,Sialia,LC,32.0,30.5,32.0
311,Townsend's solitaire,Thrushes/Allies,Turdidae,Myadestes,LC,37.0,34.0,37.0
312,Veery,Thrushes/Allies,Turdidae,Catharus,LC,28.5,32.5,28.5
313,Gray-cheeked thrush,Thrushes/Allies,Turdidae,Catharus,LC,33.0,28.0,33.0
314,Swainson's thrush,Thrushes/Allies,Turdidae,Catharus,LC,30.0,34.0,30.0
315,Hermit thrush,Thrushes/Allies,Turdidae,Catharus,LC,27.5,27.5,27.5
316,Wood thrush,Thrushes/Allies,Turdidae,Hylocichla,NT,35.0,60.0,35.0
317,Fieldfare,Thrushes/Allies,Turdidae,Turdus,LC,40.5,110.0,40.5
318,American robin,Thrushes/Allies,Turdidae,Turdus,LC,36.0,76.5,36.0
319,Varied thrush,Thrushes/Allies,Turdidae,Ixoreus,LC,38.0,82.5,38.0
320,Gray catbird,Mockingbirds/Thrashers,Mimidae,Dumetella,LC,26.0,39.85,26.0
321,Curve-billed thrasher,Mockingbirds/Thrashers,Mimidae,Toxostoma,LC,34.25,77.19999999999999,34.25
322,Brown thrasher,Mockingbirds/Thrashers,Mimidae,Toxostoma,LC,31.0,75.0,31.0
323,Sage thrasher,Mockingbirds/Thrashers,Mimidae,Oreoscoptes,LC,32.0,45.0,32.0
324,Northern mockingbird,Mockingbirds/Thrashers,Mimidae,Mimus,LC,34.5,49.0,34.5
325,European starling,Starlings,Sturnidae,Sturnus,LC,37.5,79.5,37.5
326,Bohemian waxwing,Waxwings,Bombycillidae,Bombycilla,LC,33.75,55.0,33.75
327,Cedar waxwing,Waxwings,Bombycillidae,Bombycilla,LC,26.0,30.0,26.0
328,House sparrow,Old World sparrows,Passeridae,Passer,LC,22.0,26.75,22.0
329,Eurasian tree sparrow,Old World sparrows,Passeridae,Passer,LC,21.0,24.0,21.0
330,American pipit,Wagtails/Pitpits,Motacillidae,Anthus,LC,24.0,22.0,24.0
331,Sprague's pipit,Wagtails/Pitpits,Motacillidae,Anthus,VU,25.4,22.6,25.4
332,Brambling,Finches/Euphonias/Allies,Fringillidae,Fringilla,LC,25.5,26.0,25.5
333,Evening grosbeak,Finches/Euphonias/Allies,Fringillidae,Coccothraustes,VU,33.0,62.4,33.0
334,Pine grosbeak,Finches/Euphonias/Allies,Fringillidae,Carduelinae,LC,33.0,65.0,33.0
335,Gray-crowned rosy-finch,Finches/Euphonias/Allies,Fringillidae,Leucosticte,LC,33.0,41.0,33.0
336,House finch,Finches/Euphonias/Allies,Fringillidae,Haemorhous,LC,22.5,21.5,22.5
337,Purple finch,Finches/Euphonias/Allies,Fringillidae,Haemorhous,LC,24.0,25.0,24.0
338,Cassin's finch,Finches/Euphonias/Allies,Fringillidae,Haemorhous,LC,26.0,29.0,26.0
339,Common redpoll,Finches/Euphonias/Allies,Fringillidae,Acanthis,LC,20.5,14.0,20.5
340,Hoary redpoll,Finches/Euphonias/Allies,Fringillidae,Acanthis,LC,22.5,14.0,22.5
341,Red crossbill,Finches/Euphonias/Allies,Fringillidae,Loxia,LC,28.0,46.5,28.0
342,White-winged crossbill,Finches/Euphonias/Allies,Fringillidae,Loxia,LC,27.5,35.0,27.5
343,Pine siskin,Finches/Euphonias/Allies,Fringillidae,Spinus,LC,20.0,15.0,20.0
344,American goldfinch,Finches/Euphonias/Allies,Fringillidae,Spinus,LC,20.5,15.5,20.5
345,Lapland longspur,Longspurs/Snow buntings,Calcariidae,Calcarius,LC,25.5,27.700000000000003,25.5
346,Chestnut-collared longspur,Longspurs/Snow buntings,Calcariidae,Calcarius,VU,26.0,20.0,26.0
347,Smith's longspur,Longspurs/Snow buntings,Calcariidae,Calcarius,LC,25.0,26.0,25.0
348,Thick-billed longspur,Longspurs/Snow buntings,Calcariidae,Rhynchophanes,LC,28.0,25.0,28.0
349,Snow bunting,Longspurs/Snow buntings,Calcariidae,Plextrophenax,LC,35.0,35.0,35.0
350,Grasshopper sparrow,New World sparrows,Passerellidae,Ammodramus,LC,17.5,21.1,17.5
351,Black-throated sparrow,New World sparrows,Passerellidae,Amphispiza,LC,19.5,13.0,19.5
352,Lark sparrow,New World sparrows,Passerellidae,Chondestes,LC,28.0,28.5,28.0
353,Lark bunting,New World sparrows,Passerellidae,Calamospiza,LC,26.5,38.3,26.5
354,Chipping sparrow,New World sparrows,Passerellidae,Spizella,LC,21.0,13.5,21.0
355,Clay-colored sparrow,New World sparrows,Passerellidae,Spizella,LC,19.0,12.0,19.0
356,Field sparrow,New World sparrows,Passerellidae,Spizella,LC,20.0,12.5,20.0
357,Brewer's sparrow,New World sparrows,Passerellidae,Spizella,LC,19.0,12.5,19.0
358,Fox sparrow,New World sparrows,Passerellidae,Passerella,LC,27.85,35.0,27.85
359,American tree sparrow,New World sparrows,Passerellidae,Spizelloides,LC,24.0,20.5,24.0
360,Dark-eyed junco,New World sparrows,Passerellidae,Junco,LC,21.5,24.0,21.5
361,White-crowned sparrow,New World sparrows,Passerellidae,Zonotrichia,LC,22.5,26.5,22.5
362,Golden-crowned sparrow,New World sparrows,Passerellidae,Zonotrichia,LC,24.75,27.2,24.75
363,Harris's sparrow,New World sparrows,Passerellidae,Zonotrichia,NT,27.0,37.5,27.0
364,White-throated sparrow,New World sparrows,Passerellidae,Zonotrichia,LC,23.0,27.0,23.0
365,Vesper sparrow,New World sparrows,Passerellidae,Pooecetes,LC,24.0,24.0,24.0
366,LeConte's sparrow,New World sparrows,Passerellidae,Ammospiza,LC,18.0,14.0,18.0
367,Nelson's sparrow,New World sparrows,Passerellidae,Ammospiza,LC,18.25,19.0,18.25
368,Baird's sparrow,New World sparrows,Passerellidae,Centronyx,LC,23.0,19.0,23.0
369,Henslow's sparrow,New World sparrows,Passerellidae,Centronyx,LC,18.0,13.0,18.0
370,Savannah sparrow,New World sparrows,Passerellidae,Passerculus,LC,21.5,22.0,21.5
371,Song sparrow,New World sparrows,Passerellidae,Melospiza,LC,21.7,32.45,21.7
372,Lincoln's sparrow,New World sparrows,Passerellidae,Melospiza,LC,20.5,18.0,20.5
373,Swamp sparrow,New World sparrows,Passerellidae,Melospiza,LC,18.5,19.0,18.5
374,Spotted towhee,New World sparrows,Passerellidae,Pipilo,LC,28.0,35.5,28.0
375,Eastern towhee,New World sparrows,Passerellidae,Pipilo,LC,25.0,42.5,25.0
376,Yellow-breasted chat,Yellow-breasted chat,Icteridae,Icteria,LC,25.0,27.0,25.0
377,Yellow-headed blackbird,Troupials/Allies,Icteridae,Xanthocephalus,LC,43.0,72.0,43.0
378,Bobolink,Troupials/Allies,Icteridae,Dolichonyx,LC,27.0,42.5,27.0
379,Eastern meadowlark,Troupials/Allies,Icteridae,Sturnella,NT,37.5,113.0,37.5
380,Western meadowlark,Troupials/Allies,Icteridae,Sturnella,LC,41.0,102.0,41.0
381,Orchard oriole,Troupials/Allies,Icteridae,Icterus,LC,25.0,22.0,25.0
382,Bullock's oriole,Troupials/Allies,Icteridae,Icterus,LC,31.0,36.0,31.0
383,Baltimore oriole,Troupials/Allies,Icteridae,Icterus,LC,27.5,32.15,27.5
384,Scott's oriole,Troupials/Allies,Icteridae,Icterus,LC,32.0,36.5,32.0
385,Red-winged blackbird,Troupials/Allies,Icteridae,Agelaius,LC,35.5,55.5,35.5
386,Brown-headed cowbird,Troupials/Allies,Icteridae,Molothrus,LC,36.0,45.0,36.0
387,Rusty blackbird,Troupials/Allies,Icteridae,Euphagus,VU,36.0,60.0,36.0
388,Brewer's blackbird,Troupials/Allies,Icteridae,Euphagus,LC,39.0,63.0,39.0
389,Common grackle,Troupials/Allies,Icteridae,Quiscalus,NT,41.0,108.0,41.0
390,Great-tailed grackle,Troupials/Allies,Icteridae,Quiscalus,LC,53.0,190.0,53.0
391,Ovenbird,New World warblers,Parulidae,Seiurus,LC,22.5,21.4,22.5
392,Worm-eating warbler,New World warblers,Parulidae,Helmitheros,LC,21.0,13.0,21.0
393,Louisiana waterthrush,New World warblers,Parulidae,Parkesia,LC,23.2,22.7,23.2
394,Northern waterthrush,New World warblers,Parulidae,Parkesia,LC,22.5,19.0,22.5
395,Golden-winged warbler,New World warblers,Parulidae,Vermivora,NT,20.0,9.0,20.0
396,Blue-winged warbler,New World warblers,Parulidae,Vermivora,LC,18.25,8.5,18.25
397,Black-and-white warbler,New World warblers,Parulidae,Mniotilta,LC,20.0,11.5,20.0
398,Prothonotary warbler,New World warblers,Parulidae,Protonotaria,LC,22.0,12.5,22.0
399,Tennessee warbler,New World warblers,Parulidae,Leiothlypis,LC,19.7,10.0,19.7
400,Orange-crowned warbler,New World warblers,Parulidae,Leiothlypis,LC,18.4,9.0,18.4
401,Nashville warbler,New World warblers,Parulidae,Leiothlypis,LC,18.5,10.3,18.5
402,Connecticut warbler,New World warblers,Parulidae,Oporornis,LC,22.5,15.0,22.5
403,MacGillivray's warbler,New World warblers,Parulidae,Geothlypis,LC,19.0,11.0,19.0
404,Mourning warbler,New World warblers,Parulidae,Geothlypis,LC,18.0,12.0,18.0
405,Kentucky warbler,New World warblers,Parulidae,Geothlypis,LC,21.0,13.5,21.0
406,Common yellowthroat,New World warblers,Parulidae,Geothlypis,LC,17.0,9.5,17.0
407,Hooded warbler,New World warblers,Parulidae,Setophaga,LC,17.5,10.5,17.5
408,American redstart,New World warblers,Parulidae,Setophaga,LC,19.5,7.8,19.5
409,Kirtland's warbler,New World warblers,Parulidae,Setophaga,NT,22.0,14.0,22.0
410,Cape May warbler,New World warblers,Parulidae,Setophaga,LC,20.5,13.15,20.5
411,Cerulean warbler,New World warblers,Parulidae,Setophaga,NT,20.0,9.0,20.0
412,Northern parula,New World warblers,Parulidae,Setophaga,LC,17.0,8.0,17.0
413,Magnolia warbler,New World warblers,Parulidae,Setophaga,LC,18.0,9.6,18.0
414,Bay-breasted warbler,New World warblers,Parulidae,Setophaga,LC,23.0,12.5,23.0
415,Blackburnian warbler,New World warblers,Parulidae,Setophaga,LC,21.0,10.5,21.0
416,Yellow warbler,New World warblers,Parulidae,Setophaga,LC,19.0,16.0,19.0
417,Chestnut-sided warbler,New World warblers,Parulidae,Setophaga,LC,18.5,10.55,18.5
418,Blackpoll warbler,New World warblers,Parulidae,Setophaga,NT,22.5,15.35,22.5
419,Black-throated blue warbler,New World warblers,Parulidae,Setophaga,LC,19.5,10.4,19.5
420,Palm warbler,New World warblers,Parulidae,Setophaga,LC,20.5,10.0,20.5
421,Pine warbler,New World warblers,Parulidae,Setophaga,LC,22.2,12.0,22.2
422,Yellow-rumped warbler,New World warblers,Parulidae,Setophaga,LC,21.5,13.8,21.5
423,Yellow-throated warbler,New World warblers,Parulidae,Setophaga,LC,21.0,10.0,21.0
424,Prairie warbler,New World warblers,Parulidae,Setophaga,LC,18.0,7.7,18.0
425,Black-throated gray warbler,New World warblers,Parulidae,Setophaga,LC,19.35,8.4,19.35
426,Townsend's warbler,New World warblers,Parulidae,Setophaga,LC,20.0,8.8,20.0
427,Hermit warbler,New World warblers,Parulidae,Setophaga,LC,20.0,11.0,20.0
428,Black-throated green warbler,New World warblers,Parulidae,Setophaga,LC,18.5,9.0,18.5
429,Canada warbler,New World warblers,Parulidae,Cardellina,LC,19.5,11.0,19.5
430,Wilson's warbler,New World warblers,Parulidae,Cardellina,LC,15.5,7.5,15.5
431,Painted redstart,New World warblers,Parulidae,Myioborus,LC,21.0,9.5,21.0
432,Summer tanager,Cardinals/Allies,Cardinalidae,Piranga,LC,29.0,29.0,29.0
433,Scarlet tanager,Cardinals/Allies,Cardinalidae,Piranga,LC,27.5,30.75,27.5
434,Western tanager,Cardinals/Allies,Cardinalidae,Piranga,LC,29.0,30.0,29.0
435,Northern cardinal,Cardinals/Allies,Cardinalidae,Cardinalis,LC,28.0,49.3,28.0
436,Rose-breasted grosbeak,Cardinals/Allies,Cardinalidae,Pheucticus,LC,31.0,50.0,31.0
437,Black-headed grosbeak,Cardinals/Allies,Cardinalidae,Pheucticus,LC,32.0,41.5,32.0
438,Blue grosbeak,Cardinals/Allies,Cardinalidae,Passerina,LC,27.5,28.75,27.5
439,Lazuli bunting,Cardinals/Allies,Cardinalidae,Passerina,LC,22.0,15.5,22.0
440,Indigo bunting,Cardinals/Allies,Cardinalidae,Passerina,LC,20.5,16.299999999999997,20.5
441,Painted bunting,Cardinals/Allies,Cardinalidae,Passerina,LC,22.0,16.0,22.0
442,Dickcissel,Cardinals/Allies,Cardinalidae,Spiza,LC,25.4,32.0,25.4
